created_at,anomaly_score,ph,TDS,water_level,DHT_temp,water_temp
2029-01-15 00:00:00,0.808109286902649,5.62,1363.26,1.0,23.5,24.64
2029-01-16 00:00:00,0.6784110840225357,5.62,1365.18,1.0,23.5,24.65
2029-01-17 00:00:00,0.5971053157438073,5.56,1367.2,1.0,23.4,23.27
2029-01-18 00:00:00,0.5550677228879909,5.61,1368.91,1.0,23.4,24.11
2029-01-19 00:00:00,0.615798876023523,5.51,1370.63,1.0,23.4,23.84
2029-01-20 00:00:00,0.6285711632432338,5.53,1372.44,1.0,23.4,21.36
2029-01-20 02:00:00,0.6168965152962574,5.53,1372.81,1.0,23.3,18.43
2029-01-21 00:00:00,0.595634046547756,5.53,1373.43,1.0,23.4,21.97
2029-01-22 00:00:00,0.7834475218139537,5.62,1374.47,1.0,23.4,20.14
2029-01-22 01:00:00,0.567254613303319,5.64,1374.81,1.0,23.4,18.26
2029-01-23 00:00:00,0.6283066057609346,5.63,1375.92,1.0,23.4,23.74
2029-01-24 00:00:00,0.5885651846852437,5.56,1376.7,1.0,23.4,20.16
2029-01-25 00:00:00,0.6898526887171436,5.7,1379.66,1.0,23.4,24.6
2029-01-26 00:00:00,0.7059231658477348,5.48,1381.47,1.0,23.4,19.89
2029-01-27 00:00:00,0.7220166770286656,5.51,1383.58,1.0,23.4,23.75
2029-01-28 00:00:00,0.6652220154843866,5.64,1384.87,1.0,23.4,21.84
2029-01-29 00:00:00,0.6985310489827996,5.51,1385.34,1.0,23.4,20.28
2029-01-29 02:00:00,0.5965223462383193,5.51,1385.4,1.0,23.5,24.51
2029-01-29 03:00:00,0.6098762346838872,5.57,1386.0,1.0,23.4,20.83
2029-01-29 04:00:00,0.5668522378893456,5.65,1386.08,1.0,23.5,24.16
2029-01-30 00:00:00,0.7982525147975518,5.51,1386.95,1.0,23.4,20.92
2029-01-31 00:00:00,0.6403004457165635,5.53,1387.83,1.0,23.4,23.9
2029-02-01 00:00:00,0.820056584612582,5.68,1389.23,1.0,23.4,24.36
2029-02-01 01:00:00,0.6281673983586256,5.57,1389.21,1.0,23.5,20.75
2029-02-01 02:00:00,0.6163655785750823,5.55,1389.29,1.0,23.4,22.52
2029-02-02 00:00:00,0.6517062651006876,5.69,1390.84,1.0,23.4,18.56
2029-02-03 00:00:00,0.6522674817908434,5.55,1392.97,1.0,23.4,19.23
2029-02-04 00:00:00,0.6647660190183567,5.59,1395.3,1.0,23.4,23.92
2029-02-05 00:00:00,0.8314761493606482,5.56,1396.91,1.0,23.4,24.95
2029-02-06 00:00:00,0.6382714471637945,5.63,1397.28,1.0,23.4,23.61
2029-02-07 00:00:00,0.6496385911353799,5.6,1400.03,1.0,23.4,23.65
2029-02-08 00:00:00,0.6619805772830719,5.73,1399.87,1.0,23.3,22.99
2029-02-09 00:00:00,0.6383482727471612,5.69,1400.44,1.0,23.4,20.22
2029-02-10 00:00:00,0.6657563353195419,5.75,1401.64,1.0,23.3,24.25
2029-02-10 02:00:00,0.5841485929740274,5.65,1401.38,1.0,23.4,20.08
2029-02-11 00:00:00,0.6291632130154677,5.76,1403.35,1.0,23.3,20.79
2029-02-12 00:00:00,0.8030951939553851,5.67,1404.23,1.0,23.3,19.71
2029-02-13 00:00:00,0.5889442358199166,5.65,1406.25,1.0,23.3,23.47
2029-02-14 00:00:00,0.620791541818692,5.55,1408.7,1.0,23.3,20.59
2029-02-15 00:00:00,0.648618280377128,5.59,1410.09,1.0,23.3,19.07
2029-02-16 00:00:00,0.6031335245472287,5.73,1411.29,1.0,23.3,21.54
2029-02-17 00:00:00,0.6738541269031463,5.62,1414.66,1.0,23.3,22.16
2029-02-18 00:00:00,0.7519130842227492,5.76,1416.17,1.0,23.3,23.49
2029-02-19 00:00:00,0.7274176279466238,5.67,1416.11,1.0,23.3,21.17
2029-02-19 01:00:00,0.579622498055514,5.71,1417.54,1.0,23.3,18.13
2029-02-20 00:00:00,0.6608578897976622,5.69,1418.34,1.0,23.3,19.85
2029-02-21 00:00:00,0.5823044373980589,5.69,1419.85,1.0,23.3,18.93
2029-02-22 00:00:00,0.6096791507372877,5.69,1422.39,1.0,23.3,23.77
2029-02-23 00:00:00,0.6676995312108149,5.67,1423.48,1.0,23.3,24.49
2029-02-24 00:00:00,0.66975558282324,5.79,1426.85,1.0,23.3,21.8
2029-02-24 01:00:00,0.603585290964635,5.62,1427.04,1.0,23.2,19.58
2029-02-25 00:00:00,0.7177685881370252,5.62,1428.67,1.0,23.3,18.99
2029-02-25 01:00:00,0.6278367485143705,5.79,1429.17,1.0,23.2,24.25
2029-02-26 00:00:00,0.8695349745126664,5.6,1432.36,1.0,23.2,20.03
2029-02-26 01:00:00,0.6163283837522804,5.59,1432.12,1.0,23.3,18.6
2029-02-26 02:00:00,0.6496472962748826,5.79,1431.79,1.0,23.2,19.65
2029-02-26 03:00:00,0.5558414802178999,5.81,1432.6,1.0,23.2,19.81
2029-02-26 04:00:00,0.5835646454999467,5.62,1432.99,1.0,23.2,23.42
2029-02-26 22:00:00,0.5505909810894591,5.66,1434.84,1.0,23.3,22.49
2029-02-27 00:00:00,0.6866648909140763,5.81,1434.48,1.0,23.2,18.8
2029-02-28 00:00:00,0.6278464746819701,5.8,1435.99,1.0,23.2,21.51
2029-02-28 02:00:00,0.5777375376389747,5.59,1436.25,1.0,23.3,21.4
2029-02-28 20:00:00,0.5510840893693123,5.59,1438.21,1.0,23.3,20.35
2029-03-01 00:00:00,0.7662379035723965,5.78,1438.01,1.0,23.2,22.77
2029-03-01 01:00:00,0.6456888751003398,5.59,1438.3,1.0,23.2,18.95
2029-03-01 02:00:00,0.6245965743945269,5.61,1437.96,1.0,23.3,22.79
2029-03-02 00:00:00,0.6658909751809795,5.63,1440.45,1.0,23.2,20.39
2029-03-03 00:00:00,0.6632326551317151,5.59,1441.96,1.0,23.2,21.68
2029-03-03 02:00:00,0.5578997942589001,5.61,1441.6,1.0,23.3,21.05
2029-03-04 00:00:00,0.6604740838992526,5.65,1443.47,1.0,23.2,24.13
2029-03-05 00:00:00,0.7338709445975199,5.82,1445.69,1.0,23.2,24.09
2029-03-05 03:00:00,0.5773603239795262,5.66,1446.97,1.0,23.2,18.96
2029-03-06 00:00:00,0.6337420492345339,5.81,1447.92,1.0,23.2,20.17
2029-03-07 00:00:00,0.6376642123821284,5.68,1449.64,1.0,23.2,24.48
2029-03-08 00:00:00,0.649581657934726,5.59,1452.07,1.0,23.2,20.78
2029-03-09 00:00:00,0.6800912209872056,5.68,1454.41,1.0,23.2,24.53
2029-03-10 00:00:00,0.7001603080087864,5.55,1456.33,1.0,23.2,24.09
2029-03-11 00:00:00,0.69812326353527,5.62,1458.77,1.0,23.2,22.84
2029-03-12 00:00:00,0.8128143355175004,5.64,1459.65,1.0,23.2,24.31
2029-03-12 01:00:00,0.5532792281544813,5.55,1460.56,1.0,23.2,24.06
2029-03-12 16:00:00,0.5680670253119289,5.55,1149.32,1.0,23.3,22.93
2029-03-13 00:00:00,0.7794217510105778,5.57,1148.9,1.0,23.3,18.06
2029-03-13 01:00:00,0.5609713855356657,5.76,1147.97,1.0,23.2,23.09
2029-03-14 00:00:00,0.6340029662074247,5.59,1149.01,1.0,23.3,18.03
2029-03-15 00:00:00,0.6698998516275413,5.56,1148.59,1.0,23.3,18.51
2029-03-16 00:00:00,0.6557018373084409,5.71,1149.32,1.0,23.3,18.21
2029-03-17 00:00:00,0.6780804133600971,5.67,1148.86,1.0,23.2,21.32
2029-03-18 00:00:00,0.7515988379643389,5.53,1149.01,1.0,23.3,21.19
2029-03-18 01:00:00,0.5718629112813632,5.65,1148.28,1.0,23.2,18.58
2029-03-18 03:00:00,0.5604308538456714,5.55,1148.39,1.0,23.2,18.31
2029-03-19 00:00:00,0.8606978276444015,5.55,1148.9,1.0,23.3,24.56
2029-03-20 00:00:00,0.5829568702559951,5.68,1147.14,1.0,23.4,20.22
2029-03-21 00:00:00,0.6717409393699053,5.63,1148.39,1.0,23.4,20.67
2029-03-22 00:00:00,0.5992910457022853,5.65,1147.14,1.0,23.5,18.32
2029-03-23 00:00:00,0.6037918946965682,5.59,1147.66,1.0,23.6,19.05
2029-03-24 00:00:00,0.613220350453867,5.59,1148.49,1.0,23.6,21.87
2029-03-25 00:00:00,0.7215295683545216,5.68,1148.07,1.0,23.6,24.7
2029-03-26 00:00:00,0.7897881189961579,5.58,1149.01,1.0,23.6,19.79
2029-03-26 01:00:00,0.5493736207373711,5.67,1148.18,1.0,23.7,20.06
2029-03-29 00:00:00,0.5796208776529107,5.6,1148.7,1.0,23.7,24.77
2029-03-31 00:00:00,0.6334559867342754,5.63,1147.66,1.0,23.8,22.51
2029-04-01 00:00:00,0.8304699122754895,5.65,1148.18,1.0,23.8,23.46
2029-04-01 01:00:00,0.5622652815475249,5.58,1148.07,1.0,23.8,22.37
